-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_34456_length_903_cov_1.72052	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	2	0
NODE_34636_length_852_cov_1.46926	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34737_length_943_cov_2.18243	5	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
NODE_34759_length_828_cov_1.61837	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34781_length_1234_cov_1.58694	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0
NODE_34787_length_863_cov_2.74629	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0
NODE_34829_length_850_cov_1.50818	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34853_length_1126_cov_1.70962	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
NODE_34862_length_900_cov_2.00118	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
NODE_34941_length_943_cov_2.11374	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7
NODE_35011_length_965_cov_1.41319	3	0	0	0	3	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
NODE_35046_length_1798_cov_1.85886	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	8	0	0	0	0	0	0
NODE_35129_length_878_cov_1.33293	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
NODE_35143_length_815_cov_2.54474	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NODE_35154_length_858_cov_2.74346	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6
NODE_35228_length_2643_cov_2.08617	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	14	0	1	0	0	0	0	0	0
NODE_35289_length_938_cov_2.75878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	1	0	0	0	0	0	0
NODE_35315_length_1402_cov_1.48849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
NODE_35346_length_831_cov_1.60954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
NODE_35368_length_1098_cov_1.42857	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
NODE_35420_length_979_cov_1.73268	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
